qid0000|ultrasound and chronic pancreatitis
qid0001|estrogen receptor alpha, gene regulation, brain
qid0002|"Rabbani F"[Author]
qid0003|robson aphasia 1998
qid0004|Endoscopy[Jour] AND A237[page]
qid0005|Wang 2005 and tongue
qid0006|antiproliferative valrubicin
qid0007|mucin protease stomach
qid0008|bauer s
qid0009|aggression hallucinations
qid0010|Bid + human epithelial intestinal cell
qid0011|HIV RT structure 1998
qid0012| classification of hypovolemic shock
qid0013|somatic hyper mutation
qid0014|femur anatomical measurements trochlear groove
qid0015|pdgf alpha receptor review oligodendrocytes
qid0016|occupational case-control alfredsson
qid0017|DAP12,  immune responses, review
qid0018| phosphorylated histone
qid0019|adenomectomy AND suprapubic
qid0020|Gujral J and cell death
qid0021|#8 AND bell*
qid0022|methyleneblue  TiO2
qid0023|anderson SE
qid0024|ONDS
qid0025|dion gl.
qid0026|erythema elevatum and eosinophils
qid0027|Lazar USA diabetes
qid0028|Budeus
qid0029|Gingival contour and clinical 
qid0030|"Greten FR"[Author]
qid0031|tran-tt
qid0032|collins fs.
qid0033|Whittlesey, KJ
qid0034|gout + women
qid0035|rotenone review
qid0036|coso oa mef2
qid0037|heparin AND warfarin
qid0038|oger[au] venous
qid0039|fatigue and oncology
qid0040|LEAD SEA SALT
qid0041|ikeno stanford
qid0042|sonenberg N AND Genes Dev.
qid0043|Ramos AND TLR
qid0044|corticosteroides
qid0045|IFN-g
qid0046|HYPERPIGMENTATION OF THE SKIN
qid0047|justesen, stenderup
qid0048|Abdallah Mycobacteria pSMT-3
qid0049|agarwal, blumberg, london
qid0050|Yanase T
qid0051|preterm neonates AND nephrocalcinosis
qid0052|Schaaf  w
qid0053|"Wrana JL"[Author] smurf1
qid0054|gunes y and 2005 and15
qid0055|wiedmann listeria
qid0056|myosin VII and brain
qid0057|Galvin J
qid0058|molecular vision 9
qid0059|trisomy 13 downs
qid0060|Olivson A, Schwalb H
qid0061|zinc proteoglycan
qid0062|murohara t, panday mm
qid0063|resuscitation endpoints
qid0064|8677136
qid0065|change detection without awareness do explicit reports underestimate
qid0066|West SK y Valmadrid CT 
qid0067|direct service in occupational therapy
qid0068|drosophila and neurobiology
qid0069|oncogenes chemicals
qid0070|rabsome
qid0071|koch h
qid0072|nopora A.
qid0073|Cyclosporiasis
qid0074|MRI of the cervical spinal cord
qid0075|"Chaput MA"[Author]
qid0076|insulin* AND "insulin/history"[All Fields] AND "insulin/history"[All Fields]
qid0077|ABLION trial and plavix
qid0078|(((pain) AND (#2)))
qid0079|abrahamsen worn dentition
qid0080|"JAMA : the journal of the American Medical Association"[Jour] AND 290[volume] AND 932[page] AND Emerging Risk Factors for Atherosclerotic Vascular Disease 
qid0081|modification of diet in renal disease glomerular filtration rate
qid0082|LSM medium
qid0083|Amphetamine heat shock rat
qid0084|hypercalcemia ffp
qid0085|thiazides angiotensin converting enzime
qid0086|tsh and Fasano and hox
qid0087|palma mcdonaugh
qid0088|long  Mw regulation  of human bone marrow-derived  osteoprogenitor
qid0089|HUVEC rhodococcus
qid0090|hemoglobinopathies koshy
qid0091|ameloblastoma AND (blood groups)
qid0092|immunoglobulin AND rubella
qid0093|Science[Jour] AND 2001[pdat] AND resistance
qid0094|cellular oxygen consumption 
qid0095|CCR11 and metastasis
qid0096|Witzemann
qid0097|mesenchymal cell differentiation in fibroblast
qid0098|Periodontal healing in relation to radiographic attachment and endodontic infection
qid0099|ED1 and DC
qid0100|takahashi AND isc
qid0101|abi3 expression
qid0102|Alzheimer and Dementia
qid0103|Bristol heart scandal
qid0104|duxbury waterloo
qid0105|TAF
qid0106|pantalar fusions
qid0107|IL-6 TNF
qid0108|gga adaptors
qid0109|ADAMTS13 domain structure
qid0110|Triptolide is a potent suppressant of C3, CD40 and B7h expression in activated human proximal tubular epithelial cells.
qid0111|gov y and borovok i
qid0112| Weinblatt ME, Keystone EC, Furst DE, 
qid0113|Dang Meixia
qid0114|trypanosoma cruzi  marta
qid0115|neuropathy AND genetics AND HIV
qid0116|kim winer 1993 vascular
qid0117|"The Journal of the American Board of Family Practice / American Board of Family Practice"[Jour] AND 16[volume] AND 95[page] AND 2003[pdat]
qid0118|"ken hamblin"
qid0119|percherancier y
qid0120|Nature Initial sequencing
qid0121|university + physical activities
qid0122|cartilago de crecimiento
qid0123|approaches and human and trafficking[TI]
qid0124|sebastian stevens
qid0125|staphylococcus multiplex PCR tetracycline
qid0126|Eng[LA] AND joint space
qid0127|dietary proteins 
qid0128|bannwarth b
qid0129|ABCC6 
qid0130|cohen 1992 epidemiology of drug
qid0131|ninomiya y AND taste
qid0132|strominger mhc
qid0133|Mattson RH
qid0134|estrogen receptor  alpha beta binding saturation assay
qid0135|costes
qid0136|Jaakkola and HIF
qid0137|inlammation in ileus
qid0138|cognition ms 
qid0139|Medical and surgical therapy  diverticular disease
qid0140|intermittent vein compression and obesity
qid0141|hoerter j, 2005
qid0142|Peroxiredoxin 4 
qid0143|cannarozzi g
qid0144|7[page] AND 2000[pdat] AND zussman[auth]
qid0145|heart failure pregnancy trimenon
qid0146|ZUO1
qid0147|"Liebmann PM"[Author]
qid0148|Norfloxacin AND Pharmacokinetics
qid0149|High-performance affinity chromatography for characterization of human immunoglobulin G
qid0150|(((#7)) OR (#6)) OR (#9)
qid0151|rubin EJ mycobacterium
qid0152|corticosterone food restriction rat stress
qid0153|Oesterhelt Stoeckenius W
qid0154|erlanger gasser 
qid0155|astrocytes dopamine(rgic) receptors
qid0156|bacteriocin intestine blactobacilus
